0.57656,-1.7877,1.8804,0.24174,-1.6478,1.3926
0.08104,-1.7027,2.0032,-0.031708,-1.6459,2.0152
-0.093833,-1.4892,1.8799,0.19843,-1.6138,2.3682
0.5076,-2.1288,2.0294,0.44243,-1.647,1.6475
-0.43259,-1.9644,2.1757,-0.37396,-1.5488,2.3819
-0.50214,-1.5164,2.0335,-0.3387,-1.9583,2.2118
-0.7161,-2.3805,2.2185,0.15569,-1.3608,2.8358
-0.56049,-2.0974,2.1787,0.34422,-1.3827,2.464
-0.96606,-1.6398,2.0692,-0.35604,-1.8236,2.9933
-1.972,-2.2276,2.0811,-0.30426,-1.2482,3.917
-1.2372,-2.0531,2.1393,0.14625,-1.198,3.0537
-1.2504,-1.6445,2.0277,-0.40283,-1.649,2.8771
-2.1418,-1.7691,1.8724,-0.23134,-1.7166,4.0919
-1.7328,-1.6403,1.9487,-0.1112,-1.7549,3.6836
-1.4309,-1.4472,1.8892,0.039728,-1.7147,3.2983
0.47313,-1.5414,1.2171,0.43726,-1.5481,1.2404
0.12484,-1.4867,1.4032,0.33437,-1.5696,1.7749
-0.17,-1.3317,1.4226,-0.11857,-1.3384,1.7859
0.30889,-1.8849,1.4764,0.55523,-1.2379,1.1883
-0.47127,-1.7893,1.738,-0.17827,-1.4268,2.6902
-0.54211,-1.4595,1.6081,-0.051377,-1.6778,2.8397
-0.56406,-2.1399,1.7277,0.47542,-1.0763,2.6022
-0.55073,-1.8851,1.7024,0.36492,-1.1508,2.1622
-0.75277,-1.5998,1.6722,-0.12869,-1.3047,2.3969
-1.4548,-2.0545,1.7014,0.085152,-0.96471,3.324
-1.3934,-1.8013,1.6466,-0.32574,-1.1769,3.5312
-1.2558,-1.5166,1.5292,-0.5525,-1.4131,3.1474
-1.8367,-1.792,1.5576,0.015137,-1.0974,3.7208
-1.6386,-1.489,1.4606,-0.16769,-1.6213,3.6462
-1.4025,-1.3202,1.4155,-0.019518,-1.5152,3.4336
0.2251,-1.4513,0.81498,0.28398,-0.91337,1.5841
-0.021879,-1.2873,0.82949,0.1843,-1.0803,1.7655
-0.25974,-1.1956,0.7925,-0.16373,-0.70222,2.2534
-0.22472,-1.7543,0.96121,0.49175,-0.35895,2.0942
-0.50591,-1.6035,1.1066,-0.44646,-0.72731,2.778
-0.38825,-1.2722,0.93256,0.44873,-1.1516,2.2416
-0.75169,-1.8396,1.1769,0.024587,-0.72789,2.6539
-0.96472,-1.6166,1.1325,-0.512,-0.95927,3.262
-0.67728,-1.2957,1.0407,0.34675,-1.3625,2.5692
-1.448,-1.7141,1.1141,-0.21735,-0.98167,3.4607
-1.1611,-1.5679,1.1622,0.15099,-0.96211,3.2086
-1.0822,-1.2819,1.0217,0.084651,-1.1808,3.1912
-1.8037,-1.4113,0.77968,-0.24682,-0.9606,4.0387
-1.463,-1.398,0.95415,0.072767,-0.85351,3.4298
-1.3646,-1.1051,0.73239,-0.098495,-1.0068,3.5041
